1.866,1.153,0.418,2.893,5.755,7.363,8.477,0.951,0.852,14.385,6.655,0.543,17.028,2.706,17.099,2.787
0.458,1.474,0.208,3.043,7.055,0.833,12.780,0.478,0.473,17.236,3.199,0.586,17.499,3.859,18.142,2.485
1.644,2.046,2.391,5.625,8.834,0.955,13.450,0.275,0.298,17.323,4.055,1.408,17.936,2.929,18.136,3.298
1.059,1.983,0.217,2.839,7.530,0.722,11.405,0.421,0.400,17.574,14.351,0.736,20.3451,2.087,21.425,0.638
1.278,1.904,4.252,6.448,8.881,2.130,14.457,0.782,1.043,18.572,9.436,1.019,20.002,2.288,21.519,0.423
2.477,0.772,1.066,2.647,3.614,0.773,12.300,1.316,1.635,15.279,2.632,8.927,16.851,4.133,17.422,4.392
0.895,1.460,0.324,3.122,9.609,0.653,14.390,1.305,0.873,18.767,4.274,1.583,19.101,2.221,20.538,0.62
1.510,1.776,3.013,6.103,11.572,0.935,15.014,0.597,0.592,18.637,2.741,0.918,19.313,1.044,20.688,0.342
2.319,0.685,1.268,3.247,4.311,6.154,9.551,0.776,1.593,15.677,8.536,0.725,18.042,3.637,18.421,3.216
2.756,0.772,1.276,2.643,3.818,0.275,8.136,1.325,0.508,16.795,3.951,0.594,17.38,3.283,17.474,4.015
1.606,1.958,3.700,6.628,7.822,2.747,12.842,1.155,1.082,16.456,4.364,0.629,17.894,3.368,18.712,2.681
0.000,0.817,0.428,2.625,4.504,0.941,10.556,0.506,1.798,17.550,10.108,0.808,19.366,2.08,20.241,1.563
0.863,1.978,0.515,2.098,8.708,0.792,11.086,0.347,0.925,17.442,12.732,0.852,19.684,1.584,20.848,0.816
1.634,1.526,0.791,3.369,7.445,1.928,6.158,2.493,5.605,10.767,5.019,0.225,18.042,2.929,19.012,1.405
0.594,1.167,0.464,2.773,8.247,0.905,12.800,1.894,0.761,16.428,5.053,0.581,18.201,2.858,19.541,0.816
0.000,1.077,0.208,3.074,6.256,0.726,12.783,1.456,2.679,16.725,1.773,0.896,17.407,2.575,18.56,1.405
0.021,0.753,0.180,1.922,6.776,0.367,11.861,1.804,1.319,16.584,3.220,0.743,17.894,0.548,18.302,1.622
1.013,1.726,0.618,3.139,10.243,0.817,13.349,1.085,0.703,15.843,1.807,1.388,16.374,1.201,18.767,1.796
0.968,0.855,0.301,2.554,9.109,1.525,14.274,2.416,1.222,16.495,0.092,0.586,17.407,1.301,17.892,1.561
2.350,1.079,5.222,5.154,9.078,1.301,16.442,0.127,0.438,17.329,6.732,1.770,18.519,1.867,19.765,3.172
2.545,0.875,9.361,6.716,6.610,1.002,14.464,0.311,1.500,16.900,0.160,0.570,17.982,2.877,18.812,2.681
2.406,0.718,0.074,2.406,1.822,0.806,9.412,0.200,0.741,14.815,8.271,1.392,16.930,6.115,17.745,3.708
