5.755,7.363,8.477,0.951,0.852,6.655,0.543,17.028,2.706,17.099,2.787
7.055,0.833,12.780,0.478,0.473,3.199,0.586,17.499,3.859,18.142,2.485
8.834,0.955,13.450,0.275,0.298,4.055,1.408,17.936,2.929,18.136,3.298
7.530,0.722,11.405,0.421,0.400,14.350,0.736,20.345,2.087,21.425,0.638
8.881,2.130,14.457,0.782,1.043,9.436,1.019,20.002,2.288,21.519,0.423
3.614,0.773,12.300,1.316,1.636,2.632,8.927,16.851,4.133,17.422,4.392
9.609,0.653,14.390,1.305,0.873,4.274,1.583,19.101,2.221,20.538,0.620
11.572,0.935,15.014,0.597,0.592,2.741,0.918,19.312,1.044,20.688,0.342
4.311,6.154,9.551,0.776,1.593,8.537,0.725,18.042,3.637,18.421,3.216
3.818,0.275,8.136,1.325,0.508,3.951,0.594,17.380,3.283,17.474,4.015
7.822,2.747,12.842,1.155,1.082,4.364,0.629,17.894,3.368,18.712,2.680
4.504,0.941,10.556,0.506,1.798,10.108,0.808,19.366,2.080,20.241,1.563
8.708,0.792,11.086,0.347,0.925,12.732,0.852,19.684,1.584,20.848,0.816
7.445,1.928,6.158,2.493,5.605,5.019,0.225,18.042,2.929,19.012,1.405
8.247,0.905,12.800,1.894,0.761,5.053,0.581,18.201,2.858,19.541,0.816
6.256,0.726,12.783,1.456,2.679,1.773,0.896,17.407,2.575,18.560,1.405
6.776,0.367,11.861,1.804,1.319,3.220,0.743,17.894,0.548,18.302,1.622
10.243,0.817,13.349,1.085,0.703,1.807,1.388,16.374,1.201,18.767,1.797
9.109,1.525,14.274,2.416,1.222,0.092,0.586,17.407,1.301,17.892,1.561
9.078,1.301,16.442,0.127,0.438,6.732,1.770,18.519,1.867,19.765,3.172
6.610,1.002,14.464,0.311,1.500,0.160,0.570,17.982,2.877,18.812,2.681
1.822,0.806,9.412,0.200,0.741,8.271,1.392,16.930,6.115,17.745,3.708
