5.735,8.163,8.077,0.971,1.452,6.655,0.543,17.03,2.726,17.05,2.787
7.045,1.233,12.58,0.488,0.373,3.189,0.986,17.55,3.869,17.94,2.495
8.824,1.055,13.5,0.285,0.198,4.065,1.008,17.74,2.939,17.94,3.298
7.52,1.122,11.21,0.431,0.6,14.36,0.736,20.3,2.097,21.23,0.648
8.858,1.43,14.41,0.795,0.643,9.421,1.619,19.55,2.273,21.09,0.515
3.604,0.873,12.35,1.306,1.435,2.642,9.327,16.65,4.143,17.22,4.402
9.599,0.753,14.59,1.315,1.073,4.264,1.483,19.3,2.211,20.34,0.63
11.56,0.935,15.11,0.607,0.192,2.751,0.818,19.16,1.044,20.49,0.352
4.301,6.554,9.701,0.786,1.193,8.527,0.325,18.17,3.647,18.22,3.226
3.808,0.375,8.336,1.335,0.408,3.961,0.194,17.38,3.293,17.4,4.015
7.812,2.347,13.04,1.145,0.682,4.354,0.229,18.09,3.378,18.51,2.691
4.474,0.641,10.21,0.536,1.698,10.08,0.108,19.69,2.344,19.87,1.622
8.698,0.592,11.19,0.357,0.525,12.72,1.252,19.88,1.594,20.65,0.826
7.425,2.728,6.158,2.513,5.105,4.999,0.925,18.19,2.917,18.61,1.425
8.217,2.105,12.2,1.924,0.261,5.06,0.981,18.35,2.868,18.94,0.846
6.246,1.126,12.58,1.466,3.079,1.783,1.296,17.46,2.585,18.36,1.415
6.776,0.367,11.86,1.804,1.319,3.22,0.743,17.89,0.272,18.41,0.277
10.24,0.817,13.35,1.085,0.703,1.807,1.388,16.37,1.201,18.77,1.796
9.109,1.525,10.71,2.416,1.222,0.134,0.586,17.41,1.301,17.89,1.561
9.078,1.301,16.11,0.156,0.438,6.622,1.77,18.65,1.895,19.77,3.172
6.61,1.002,14.52,0.247,1.5,0.192,0.57,17.98,2.877,18.81,2.681
1.822,0.806,9.412,0.182,0.741,8.271,1.392,16.93,6.115,17.75,3.708
